iter	Passed	Remaining
0	56	56137
1	56	28208
2	56	18892
3	57	14262
4	57	11470
5	58	9613
6	58	8284
7	58	7285
8	59	6505
9	59	5876
10	59	5379
11	60	4955
12	60	4595
13	60	4284
14	61	4024
15	61	3788
16	62	3589
17	62	3404
18	62	3240
19	63	3091
20	63	2956
21	63	2834
22	64	2725
23	64	2625
24	64	2534
25	65	2447
26	65	2367
27	65	2291
28	66	2222
29	66	2159
30	67	2096
31	67	2038
32	67	1987
33	68	1935
34	68	1888
35	69	1861
36	69	1819
37	70	1780
38	70	1740
39	71	1704
40	71	1668
41	71	1633
42	71	1601
43	72	1573
44	72	1543
45	73	1514
46	73	1486
47	73	1460
48	73	1435
49	74	1411
50	74	1389
51	74	1367
52	75	1345
53	75	1324
54	76	1308
55	76	1288
56	76	1270
57	77	1252
58	77	1235
59	77	1220
60	78	1205
61	78	1190
62	79	1177
63	79	1162
64	79	1147
65	80	1133
66	80	1119
67	80	1108
68	81	1097
69	81	1084
70	81	1071
71	82	1060
72	82	1048
73	82	1036
74	83	1025
75	83	1015
76	83	1004
77	84	994
78	84	984
79	84	975
80	85	965
81	85	955
82	85	948
83	86	939
84	86	929
85	86	920
86	86	911
87	87	903
88	87	896
89	87	889
90	88	881
91	88	873
92	88	866
93	89	860
94	89	852
95	89	846
96	90	840
97	90	833
98	90	827
99	91	820
100	91	814
101	91	808
102	92	802
103	92	796
104	92	790
105	93	784
106	93	779
107	93	773
108	93	767
109	94	762
110	94	756
111	94	751
112	95	746
113	95	741
114	95	737
115	96	732
116	96	727
117	96	723
118	97	719
119	97	714
120	97	710
121	98	706
122	98	701
123	98	697
124	99	694
125	99	690
126	99	686
127	100	682
128	100	678
129	101	679
130	101	675
131	102	672
132	102	668
133	102	664
134	103	661
135	103	657
136	103	653
137	103	649
138	104	646
139	104	642
140	104	639
141	105	635
142	105	633
143	105	629
144	106	627
145	106	623
146	106	620
147	107	617
148	107	614
149	108	612
150	108	609
151	108	606
152	108	603
153	109	600
154	109	597
155	109	594
156	110	591
157	110	589
158	110	587
159	111	584
160	111	581
161	112	579
162	112	576
163	112	574
164	112	571
165	113	569
166	113	566
167	114	564
168	114	562
169	114	559
170	114	557
171	115	554
172	115	552
173	115	549
174	116	547
175	116	545
176	116	543
177	117	541
178	117	538
179	117	536
180	118	534
181	118	531
182	118	529
183	118	527
184	119	525
185	119	523
186	119	520
187	120	518
188	120	516
189	120	514
190	121	512
191	121	510
192	121	508
193	122	507
194	122	506
195	122	504
196	123	502
197	123	500
198	123	498
199	124	496
200	124	495
201	124	493
