iter	Passed	Remaining
0	57	57918
1	58	29173
2	58	19568
3	59	14773
4	59	11887
5	60	9960
6	60	8580
7	60	7555
8	61	6757
9	61	6104
10	62	5581
11	62	5141
12	62	4765
13	63	4443
14	63	4163
15	63	3920
16	64	3706
17	64	3516
18	64	3352
19	65	3200
20	65	3061
21	66	2934
22	66	2819
23	66	2712
24	67	2618
25	67	2529
26	67	2447
27	68	2367
28	68	2297
29	69	2232
30	69	2168
31	69	2108
32	70	2052
33	70	1999
34	70	1948
35	71	1903
36	71	1857
37	71	1817
38	72	1776
39	72	1738
40	72	1701
41	73	1666
42	73	1633
43	73	1601
44	73	1570
45	74	1544
46	74	1517
47	75	1492
48	75	1466
49	75	1441
50	76	1422
51	76	1400
52	77	1380
53	77	1358
54	77	1337
55	78	1317
56	78	1297
57	78	1280
58	79	1262
59	79	1246
60	79	1228
61	80	1212
62	80	1198
63	80	1182
64	81	1167
65	81	1153
66	81	1140
67	82	1127
68	82	1113
69	82	1100
70	83	1088
71	83	1075
72	83	1064
73	84	1053
74	84	1042
75	84	1031
76	85	1020
77	85	1009
78	85	999
79	86	989
80	86	980
81	86	971
82	86	960
83	87	950
84	87	941
85	87	933
86	88	924
87	88	916
88	88	908
89	89	901
90	89	894
91	89	886
92	90	879
93	90	871
94	90	864
95	91	858
96	91	851
97	91	844
98	92	837
99	92	832
100	92	825
101	93	819
102	93	813
103	93	807
104	94	801
105	94	795
106	94	789
107	94	784
108	95	778
109	95	773
110	95	767
111	96	762
112	96	757
113	96	752
114	97	747
115	97	742
116	97	737
117	97	732
118	98	727
119	98	722
120	98	718
121	99	713
122	99	709
123	99	705
124	100	701
125	100	697
126	100	693
127	101	689
128	101	685
129	101	681
130	102	677
131	102	673
132	102	669
133	103	667
134	103	663
135	103	659
136	104	656
137	104	653
138	104	649
139	105	646
140	105	643
141	105	639
142	106	636
143	106	633
144	106	630
145	107	627
146	107	623
147	107	620
148	108	618
149	108	615
150	108	612
151	109	608
152	109	606
153	109	603
154	110	600
155	110	598
156	110	595
157	111	592
158	111	590
159	111	587
160	112	584
161	112	582
162	112	579
163	113	576
164	113	574
165	114	573
166	114	570
167	114	568
168	115	566
169	115	564
170	115	562
171	116	559
172	116	558
173	117	556
174	117	554
175	117	552
176	118	550
177	118	547
178	118	545
179	119	544
180	119	542
181	120	539
182	120	538
183	120	536
184	121	533
185	121	531
186	121	529
187	122	528
188	122	526
189	122	524
190	123	522
191	123	520
192	124	519
193	124	517
194	125	516
195	125	514
196	125	512
197	126	510
198	126	508
199	126	507
200	127	506
201	127	504
202	127	502
203	128	500
204	128	498
205	129	497
206	129	495
207	129	494
208	130	492
209	130	490
210	130	489
211	131	487
212	131	485
213	131	484
214	132	483
215	132	481
216	133	479
217	133	478
218	133	477
219	134	475
220	134	473
221	134	472
222	134	470
223	135	468
224	135	467
225	136	465
226	136	464
227	136	463
228	137	461
229	137	460
230	137	458
231	138	457
232	138	455
233	138	454
234	139	453
235	139	451
236	139	450
237	140	449
238	140	448
239	141	446
240	141	445
241	141	444
242	142	443
243	142	441
244	142	440
245	143	439
246	143	438
247	144	437
248	144	436
249	144	434
250	145	433
251	145	432
252	145	430
253	146	429
254	146	428
255	147	427
256	147	426
257	147	425
258	148	424
259	148	422
260	148	421
261	149	420
262	149	419
263	150	418
264	150	417
265	150	416
266	151	415
267	151	414
268	152	413
269	152	412
270	152	411
271	153	409
272	153	408
273	153	407
274	154	406
275	154	405
276	154	404
277	155	403
278	155	402
279	156	401
280	156	400
281	156	399
282	157	398
283	157	397
284	157	396
285	158	394
286	158	393
287	158	392
288	159	391
289	159	390
290	159	389
291	160	388
292	160	387
293	160	386
294	161	385
295	161	384
296	161	383
297	162	382
298	162	381
299	162	380
300	163	379
301	163	378
302	164	377
303	164	376
304	164	375
305	165	374
306	165	374
307	166	373
308	166	372
309	166	371
310	167	370
311	167	369
312	167	368
313	168	367
314	168	366
315	168	365
316	169	364
317	169	363
318	169	362
319	170	361
320	170	360
321	170	359
322	171	359
323	171	358
324	171	357
325	172	356
326	172	355
327	172	354
328	173	353
329	173	352
330	173	351
331	174	350
332	174	349
333	174	348
334	175	347
335	175	346
336	175	346
337	176	345
338	176	344
339	177	343
340	177	342
341	177	341
342	178	341
343	178	340
344	178	339
345	179	338
346	179	337
347	179	336
348	179	335
349	180	334
350	180	334
351	180	333
352	181	332
353	181	331
354	181	330
355	182	329
356	182	328
357	182	327
358	183	326
359	183	326
360	183	325
361	184	324
362	184	323
363	184	322
364	185	321
365	185	321
366	185	320
367	186	319
368	187	319
369	187	319
370	187	318
371	188	317
372	188	316
373	188	316
374	189	315
375	189	314
376	189	313
377	190	312
378	190	311
379	190	311
380	191	310
381	191	309
382	191	308
383	192	308
384	192	307
385	192	306
386	193	305
387	193	304
388	193	304
389	194	303
390	194	302
391	194	301
392	194	301
393	195	300
394	195	299
395	195	298
396	196	299
397	197	298
398	197	297
399	197	296
400	198	296
401	198	295
402	198	294
403	199	293
404	199	292
405	199	292
406	200	291
407	200	290
408	200	289
409	200	289
410	201	289
411	202	288
412	202	287
413	202	287
414	203	286
415	203	285
416	203	285
417	204	284
418	204	283
419	204	282
420	205	282
421	205	281
422	205	280
423	206	280
424	206	279
425	206	278
426	207	278
427	207	277
428	208	276
429	208	276
430	208	275
431	209	274
432	209	274
433	209	273
434	209	272
435	210	272
436	210	271
437	210	270
438	211	269
439	211	269
440	211	268
441	212	267
442	212	267
443	212	266
444	213	265
445	213	265
446	213	264
447	214	263
448	214	263
449	214	262
450	214	261
451	215	260
452	215	260
453	215	259
454	216	259
455	216	258
456	216	257
457	217	257
458	217	256
459	218	255
460	218	255
461	218	254
462	219	254
463	219	253
464	219	252
465	219	251
466	220	251
467	220	250
468	220	250
469	221	249
470	221	248
471	221	248
472	222	247
473	222	246
474	222	246
475	223	245
476	223	244
477	223	244
478	224	243
479	224	243
480	224	242
481	225	242
482	225	241
